Sentences from rule 7,Sentences from rule 19,Cosine Similarity Score
commission also adopting rule 17ad22e7 modification,final rule commission adopting rule 17ad22e19 proposed,0.8493162393569946
proposed rule 17ad22e7vii would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed result performing annual frequent conforming model validation liquidity risk model,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.8250343799591064
commission recognizes may number way address compliance rule 17ad22e7 commission providing following guidance covered clearing agency generally consider establishing maintaining policy procedure address liquidity risk,commission recognizes may number way address compliance rule 17ad22e19 commission providing following guidance covered clearing agency generally consider establishing maintaining policy procedure address tiered participation arrangement • whether covered clearing agency ensures rule procedure agreement allow gather sufficient information indirect participation identify monitor manage material risk covered clearing agency arising tiered participation arrangement,0.8243497610092163
proposed rule 17ad22e7v would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed ensure covered clearing agency maintains least annual basis test liquidity provider extent practicable procedure operational capacity accessing type relevant liquidity resource,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.8168810606002808
proposed rule 17ad22e7ii would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed ensure hold qualifying liquid resource sufficient meet minimum liquidity resource requirement relevant currency covered clearing agency payment obligation owed clearing member,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.7989600300788879
proposed rule 17ad22e7vid would also require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed result reporting result analysis performed proposed rule 17ad22e7vib c appropriate decision maker including risk management committee board director covered clearing agency use evaluating adequacy adjusting liquidity risk management framework,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.7971174716949463
one commenter stated proposed rule 17ad22e7 prudent appropriate light need covered clearing agency maintain adequate liquidity minimize systemic risk requiring ongoing testing monitoring underlying assumption covered clearing agency able identify potential problem sufficient time respond without significant disruption,light availability tool described commission believe commenter ’ suggestion covered clearing agency rely due diligence performed clearing member appropriate alternative purpose addressing requirement covered clearing agency must satisfy rule 17ad22e19,0.7865198850631714
proposed rule 17ad22e7iv would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed ensure undertakes due diligence confirm reasonable basis believe liquidity provider whether liquidity provider clearing member sufficient information understand manage liquidity provider ’ liquidity risk capacity perform required commitment provide liquidity,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.7864377498626709
rule 17ad22e7 liquidity risk proposed rule proposed rule 17ad22e7 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed effectively measure monitor manage liquidity risk arises borne meeting minimum ten requirement specified rule,addition proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed regularly review material risk covered clearing agency arising tiered participation arrangement,0.779789924621582
proposed rule 17ad22e7ii would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed ensure hold qualifying liquid resource sufficient meet minimum liquidity resource requirement relevant currency covered clearing agency payment obligation owed clearing member,rule 17ad22e19 tiered participation arrangement proposed rule proposed rule 17ad22e19 would require covered clearing agency establish implement maintain enforce written policy procedure reasonably designed identify monitor manage material risk covered clearing agency arising arrangement firm indirect participant covered clearing agency rely service provided direct participant covered clearing agency access covered clearing agency ’ payment clearing settlement facility hereinafter “ tiered participation arrangement ”,0.7685266733169556
